d,t1,t2,p,f,F
16,100,80,420,41.53,8.63912884
16,20,100,420,41.53,7.72758284
16,40,100,420,41.53,8.26749589
16,60,100,420,41.53,8.54252822
16,80,100,420,41.53,8.55937345
16,100,100,420,41.53,8.56136933
16,20,120,420,41.53,6.79094349
16,40,120,420,41.53,8.25320538
16,60,120,420,41.53,8.526162
16,80,120,420,41.53,8.54396526
16,100,120,420,41.53,8.54628048
18,20,40,420,42.99,12.21618224
18,40,40,420,42.99,13.78408617
18,60,40,420,42.99,14.20650085
18,80,40,420,42.99,14.25739259
18,100,40,420,42.99,14.26443505
18,20,60,420,42.99,9.64607313
18,40,60,420,42.99,11.34453111
18,60,60,420,42.99,10.69536477
18,80,60,420,42.99,10.74406425
18,100,60,420,42.99,10.74805601
18,20,80,420,42.99,8.14550767
18,40,80,420,42.99,10.91114923
18,60,80,420,42.99,9.42558799
18,80,80,420,42.99,9.47237418
18,100,80,420,42.99,9.47490317
18,20,100,420,42.99,8.01657379
18,40,100,420,42.99,8.72253058
18,60,100,420,42.99,9.27717659
18,80,100,420,42.99,9.32056862
18,100,100,420,42.99,9.32316416
18,20,120,420,42.99,7.98376152
18,40,120,420,42.99,8.68772378
18,60,120,420,42.99,9.23425042
18,80,120,420,42.99,9.27877384
18,100,120,420,42.99,8.91434324
